City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.37,97,100,3.34,GS,1728617081
1,tuba city,36.135,-111.2399,22.68,17,69,1.37,US,1728617083
2,bandundu,-3.3167,17.3667,22.2,95,25,0.78,CD,1728617084
3,kemijarvi,66.7131,27.4306,4.59,95,100,7.08,FI,1728617085
4,albany,42.6001,-73.9662,8.58,67,5,0.89,US,1728617086
5,novodvinsk,64.4165,40.8122,0.86,90,100,7.05,RU,1728617087
6,isafjordur,66.0755,-23.124,-3.29,73,81,2.73,IS,1728617088
7,blackmans bay,-43.0167,147.3167,15.07,61,17,7.39,AU,1728617089
8,kidal,18.4411,1.4078,30.51,18,41,1.7,ML,1728617090
9,hermanus,-34.4187,19.2345,9.33,79,93,1.79,ZA,1728617091
10,arraial do cabo,-22.9661,-42.0278,21.37,90,100,11.43,BR,1728617093
11,utrik,11.2278,169.8474,26.91,80,100,4.17,MH,1728617094
12,port-aux-francais,-49.35,70.2167,2.41,87,94,13.32,TF,1728617095
13,bethel,41.3712,-73.414,8.09,73,2,1.34,US,1728617096
14,yellowknife,62.456,-114.3525,6.29,93,75,4.63,CA,1728617097
15,ashland,40.8167,-82.2665,6.79,92,0,0.84,US,1728617098
16,tiksi,71.6872,128.8694,-5.8,88,92,2.32,RU,1728617099
17,contamana,-7.3333,-75.0167,23.58,92,100,0.6,PE,1728616993
18,adamstown,-25.066,-130.1015,21.39,88,100,7.23,PN,1728617101
19,longyearbyen,78.2186,15.6401,3.91,70,75,9.77,SJ,1728617103
20,edinburgh of the seven seas,-37.0676,-12.3116,8.69,83,94,22.82,SH,1728617104
21,stanley,54.868,-1.6985,3.43,90,0,4.12,GB,1728617105
22,vadso,70.0744,29.7487,5.09,87,75,5.66,NO,1728617106
23,touros,-5.1989,-35.4608,25.26,72,100,6.37,BR,1728616869
24,kapuskasing,49.4169,-82.4331,9.05,71,75,3.6,CA,1728617042
25,caras,-9.0467,-77.8114,17.68,76,88,1.33,PE,1728617109
26,tolanaro,-25.0319,46.9987,21.04,73,20,8.23,MG,1728617110
27,tazacorte,28.629,-17.9293,21.75,81,0,2.06,ES,1728617111
28,lagos,6.5833,3.75,23.98,93,75,0.68,NG,1728616983
29,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1728617114
30,port elizabeth,-33.918,25.5701,15.73,91,0,5.14,ZA,1728617115
31,tazovsky,67.4667,78.7,-2.63,90,100,6.16,RU,1728617116
32,talnakh,69.4865,88.3972,-11.59,91,30,3.56,RU,1728617117
33,chonchi,-42.6128,-73.8092,6.18,96,30,1.34,CL,1728617118
34,geraldton,-28.7667,114.6,30.23,42,0,4.63,AU,1728617120
35,ushuaia,-54.8,-68.3,2.81,93,75,2.06,AR,1728617122
36,ust-nera,64.5667,143.2,-2.72,74,88,1.59,RU,1728617123
37,phan rang-thap cham,11.5667,108.9833,31.85,59,11,2.42,VN,1728617124
38,turpan,42.9333,89.1667,24.46,19,0,1.61,CN,1728617126
39,happy valley-goose bay,53.3168,-60.3315,6.17,100,100,2.06,CA,1728616981
40,kapa'a,22.0752,-159.319,28.18,85,20,5.66,US,1728617128
41,cockburn town,21.4612,-71.1419,29.75,72,98,1.92,TC,1728617056
42,sao joao do paraiso,-15.3136,-42.0144,20.37,83,83,2.69,BR,1728617131
43,ribeira grande,38.5167,-28.7,18.21,81,100,4.02,PT,1728617132
44,ilulissat,69.2167,-51.1,-2.99,46,57,1.03,GL,1728617133
45,kaiyuan,23.6977,103.3037,22.16,77,91,2.97,CN,1728617134
46,hlybokaye,55.1382,27.6879,14.48,81,100,5.77,BY,1728617135
47,luderitz,-26.6481,15.1594,14.38,75,9,4.7,NA,1728617136
48,erdenet,49.0333,104.0833,5.08,51,9,1.88,MN,1728617137
49,tayshet,55.9342,98.0044,-2.36,59,54,2.84,RU,1728617138
50,kone,-21.0595,164.8658,29.46,41,0,4.47,NC,1728617139
51,kachkanar,58.7,59.4948,-6.14,86,52,4.33,RU,1728617141
52,sisimiut,66.9395,-53.6735,1.74,63,11,2.89,GL,1728617142
53,iskateley,67.6803,53.1512,-2.81,64,100,8.37,RU,1728617143
54,christchurch,-43.5333,172.6333,18.86,43,98,6.71,NZ,1728616329
55,rio grande,-32.035,-52.0986,17.85,94,100,9.59,BR,1728617021
56,tralee,52.2704,-9.7026,7.03,80,78,0.27,IE,1728617146
57,aitape,-3.1374,142.3475,30.87,64,54,3.56,PG,1728617147
58,constantia,44.1833,28.65,14.38,66,6,1.57,RO,1728617037
59,nadym,65.5333,72.5167,-2.92,85,76,5.23,RU,1728617149
60,colby,39.3958,-101.0524,21.11,38,0,0.45,US,1728617151
61,egilsstadir,65.2653,-14.3948,-1.05,80,75,5.14,IS,1728617066
62,puerto natales,-51.7236,-72.4875,3.92,85,100,4.59,CL,1728617012
63,tasova,40.7597,36.3225,16.55,76,64,0.81,TR,1728617154
64,margaret river,-33.95,115.0667,21.51,59,100,5.37,AU,1728617155
65,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,46,0,6.0,RU,1728617156
66,tamanrasset,22.785,5.5228,21.95,30,0,1.54,DZ,1728617157
67,waitangi,-43.9535,-176.5597,11.01,70,69,0.89,NZ,1728617158
68,jamestown,42.097,-79.2353,4.8,95,0,2.06,US,1728617160
69,kristiansund,63.1115,7.732,5.36,60,20,1.54,NO,1728617161
70,sucua,-2.4667,-78.1667,20.0,97,97,1.52,EC,1728617162
71,kayyerkan,69.3786,87.7439,-8.25,93,96,5.82,RU,1728617163
72,swakopmund,-22.6833,14.5333,13.32,84,0,1.79,NA,1728617164
73,el matama,16.7095,33.3565,30.22,47,8,7.12,SD,1728617165
74,gadzhiyevo,69.2551,33.3362,3.05,91,100,9.5,RU,1728617166
75,keflavik,64.0049,-22.5624,0.24,64,0,9.26,IS,1728617042
76,whitehorse,60.7161,-135.0538,5.43,65,75,5.66,CA,1728616950
77,itaueira,-7.6033,-43.0256,28.69,37,8,1.74,BR,1728617170
78,taroa,8.7058,171.2275,28.19,74,100,2.54,MH,1728616872
79,portland,45.5234,-122.6762,16.3,73,100,0.89,US,1728617158
80,sabang,5.8933,95.3214,28.02,79,84,7.86,ID,1728617173
81,udachny,66.4167,112.4,-7.68,90,100,5.1,RU,1728617174
82,tamiahua,21.2667,-97.45,23.7,83,96,0.89,MX,1728617175
83,ta`u,-14.2336,-169.5144,26.77,80,46,8.91,AS,1728617176
84,carovigno,40.708,17.655,22.1,62,86,0.98,IT,1728616923
85,bilibino,68.0546,166.4372,-11.44,96,58,0.54,RU,1728617178
86,porto novo,6.4965,2.6036,25.9,91,89,1.83,BJ,1728617179
87,schoningen,52.138,10.9675,7.45,84,86,3.58,DE,1728617181
88,invercargill,-46.4,168.35,13.9,70,81,5.81,NZ,1728617182
89,thanh hoa,19.8,105.7667,29.3,56,38,1.26,VN,1728617183
90,punta arenas,-53.15,-70.9167,5.06,75,75,5.66,CL,1728616673
91,linhai,28.85,121.1167,24.17,53,1,1.34,CN,1728617185
92,east london,-33.0153,27.9116,16.52,77,75,5.66,ZA,1728617186
93,olonkinbyen,70.9221,-8.7187,-3.19,91,100,20.88,SJ,1728617116
94,bardai,11.65,7.2333,22.88,70,7,1.89,NG,1728617188
95,tsiombe,-25.3,45.4833,20.46,70,1,3.18,MG,1728617189
96,el calafate,-50.3408,-72.2768,4.75,79,100,3.46,AR,1728617191
97,avarua,-21.2078,-159.775,25.03,69,20,7.2,CK,1728617192
98,dhalie,13.6957,44.7314,20.79,72,7,0.61,YE,1728617193
99,katiola,8.1333,-5.1,21.45,98,51,1.47,CI,1728617194
100,hinton,53.4001,-117.5857,3.18,80,36,1.76,CA,1728617195
101,west island,-12.1568,96.8225,27.99,74,20,7.72,CC,1728617196
102,miri,4.4148,114.0089,30.08,74,40,1.54,MY,1728617197
103,huarmey,-10.0681,-78.1522,17.47,90,18,4.05,PE,1728617199
104,puerto ayora,-0.7393,-90.3518,20.31,94,98,3.13,EC,1728617200
105,douz,33.4663,9.0203,24.36,69,75,8.32,TN,1728617201
