City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ta`u,-14.2336,-169.5144,26.82,74,36,6.69,AS,1726803833
1,hasaki,35.7333,140.8333,29.46,77,23,4.46,JP,1726803834
2,codajas,-3.8367,-62.0569,28.01,44,95,0.39,BR,1726803835
3,edinburgh of the seven seas,-37.0676,-12.3116,13.56,87,100,9.81,SH,1726803836
4,lihue,21.9789,-159.3672,27.77,68,20,5.66,US,1726803837
5,enewetak,11.3474,162.3373,28.82,78,100,7.26,MH,1726803838
6,usogorsk,63.4106,48.6872,10.61,90,100,4.68,RU,1726803839
7,placido de castro,-10.3353,-67.1856,29.08,29,22,1.4,BR,1726803841
8,port-aux-francais,-49.35,70.2167,3.21,79,100,9.25,TF,1726803733
9,acapulco de juarez,16.8634,-99.8901,28.9,79,75,1.03,MX,1726803843
10,mata-utu,-13.2816,-176.1745,27.17,81,92,8.32,WF,1726803844
11,haiku-pauwela,20.9219,-156.3051,27.01,75,40,13.41,US,1726803845
12,kuusamo,65.9667,29.1833,10.02,66,40,3.6,FI,1726803846
13,rabo de peixe,37.8,-25.5833,19.73,77,40,1.03,PT,1726803847
14,tura,25.5198,90.2201,32.79,62,64,0.85,IN,1726803848
15,kodiak,57.79,-152.4072,10.73,82,0,3.09,US,1726803851
16,utrik,11.2278,169.8474,28.39,80,99,7.04,MH,1726803852
17,albany,42.6001,-73.9662,18.23,77,26,0.96,US,1726803277
18,puerto natales,-51.7236,-72.4875,1.11,69,99,3.14,CL,1726803854
19,figuig (centre),32.1089,-1.2286,23.05,56,100,1.88,MA,1726803856
20,adamstown,-25.066,-130.1015,20.71,82,38,2.94,PN,1726803858
21,punta arenas,-53.15,-70.9167,0.06,69,20,4.12,CL,1726803859
22,port saint john's,-31.6229,29.5448,14.27,72,100,4.07,ZA,1726803860
23,waitangi,-43.9535,-176.5597,11.01,86,11,4.02,NZ,1726803861
24,al jawf,29.5,38.75,21.45,59,0,2.32,SA,1726803862
25,ribeira grande,38.5167,-28.7,19.87,81,60,1.79,PT,1726803863
26,longyearbyen,78.2186,15.6401,2.91,75,100,5.66,SJ,1726803865
27,bria,6.5423,21.9863,20.42,97,99,1.18,CF,1726803866
28,vernon,50.2581,-119.2691,14.74,67,19,0.51,CA,1726803640
29,invercargill,-46.4,168.35,7.23,90,99,1.79,NZ,1726803868
30,bilibino,68.0546,166.4372,4.77,65,99,1.0,RU,1726803869
31,georgetown,5.4112,100.3354,31.96,79,20,1.03,MY,1726803777
32,nguigmi,14.2495,13.1092,29.69,56,7,4.95,NE,1726803871
33,yellowknife,62.456,-114.3525,9.29,88,20,3.6,CA,1726803874
34,tofol,5.3248,163.0078,29.88,74,75,2.57,FM,1726803875
35,lebu,-37.6167,-73.65,8.93,88,100,2.34,CL,1726803876
36,hithadhoo,-0.6,73.0833,28.23,74,26,5.31,MV,1726803877
37,nemuro,43.3236,145.575,19.73,82,100,8.39,JP,1726803878
38,stanley,54.868,-1.6985,12.38,94,100,1.54,GB,1726803879
39,thompson,55.7435,-97.8558,18.09,100,100,2.06,CA,1726803881
40,grytviken,-54.2811,-36.5092,0.5,81,92,3.01,GS,1726803882
41,al ghayzah,16.2079,52.176,25.39,82,34,1.56,YE,1726803883
42,margaret river,-33.95,115.0667,13.77,62,100,4.18,AU,1726803884
43,greymouth,-42.4667,171.2,10.86,86,100,7.23,NZ,1726803885
44,okhotsk,59.3833,143.3,10.71,52,44,6.43,RU,1726803886
45,tralee,52.2704,-9.7026,12.32,91,100,1.89,IE,1726803887
46,blackmans bay,-43.0167,147.3167,11.07,74,100,3.84,AU,1726803889
47,edeia,-17.3383,-49.9314,27.88,28,30,2.77,BR,1726803890
48,mana,5.6592,-53.7767,26.32,83,100,6.67,GF,1726803891
49,rizokarpaso,35.6,34.375,24.76,71,65,4.25,CY,1726803892
50,uyuni,-20.4597,-66.825,5.5,16,0,4.83,BO,1726803893
51,west island,-12.1568,96.8225,27.99,61,20,6.69,CC,1726803746
52,erdenet,49.0333,104.0833,3.16,83,100,2.85,MN,1726803895
53,nuku'alofa,-21.1333,-175.2,24.19,78,20,4.12,TO,1726803897
54,papatowai,-46.5619,169.4708,5.89,92,100,4.81,NZ,1726803898
55,san antonio de pale,-1.4014,5.6325,24.62,83,100,5.94,GQ,1726803899
56,lethem,3.3803,-59.7968,27.98,53,100,3.61,GY,1726803900
57,las tablas,7.7667,-80.2833,26.21,99,78,2.38,PA,1726803901
58,kavaratti,10.5669,72.642,27.29,77,9,3.33,IN,1726803902
59,new norfolk,-42.7826,147.0587,11.51,96,100,2.81,AU,1726803904
60,cabo san lucas,22.8909,-109.9124,23.75,69,0,6.69,MX,1726803905
61,ilulissat,69.2167,-51.1,2.01,51,54,8.23,GL,1726803906
62,tibu,8.639,-72.7358,24.1,96,100,1.01,CO,1726803907
63,riosucio,5.4216,-75.7032,16.41,98,97,0.78,CO,1726803908
64,khargapur,24.823,79.144,27.69,75,30,2.77,IN,1726803909
65,rio gallegos,-51.6226,-69.2181,3.03,81,100,4.12,AR,1726803910
66,puerto aysen,-45.4,-72.7,4.05,97,100,2.8,CL,1726803911
67,tuzantla,19.2029,-100.5668,23.13,93,64,1.43,MX,1726803913
68,homer,59.6425,-151.5483,12.24,76,0,2.06,US,1726803823
69,zouerate,22.7187,-12.4521,27.08,64,69,2.42,MR,1726803915
70,james city,35.0888,-77.035,22.03,94,40,0.0,US,1726803916
71,port elizabeth,-33.918,25.5701,10.17,90,75,1.79,ZA,1726803917
72,akureyri,65.6835,-18.0878,2.96,87,0,1.03,IS,1726803918
73,yantzaza,-3.8278,-78.7594,19.06,90,60,0.69,EC,1726803919
74,geneina,13.45,22.45,22.72,71,45,2.11,SD,1726803921
75,bethel,41.3712,-73.414,19.39,88,0,1.54,US,1726803717
76,isafjordur,66.0755,-23.124,5.56,83,99,2.36,IS,1726803923
77,klyuchi,52.2667,79.1667,14.99,43,76,3.29,RU,1726803924
78,tromso,69.6496,18.957,7.01,65,75,11.32,NO,1726803925
79,lensk,60.7253,114.9278,5.65,94,100,6.99,RU,1726803926
80,gouyave,12.1646,-61.7296,29.43,74,20,6.69,GD,1726803927
81,onega,63.9061,38.1404,12.03,91,100,5.71,RU,1726803929
82,iqaluit,63.7506,-68.5145,1.85,87,75,0.0,CA,1726803930
83,santa rita,-7.1139,-34.9781,23.37,88,20,2.57,BR,1726803931
84,portage la prairie,49.9728,-98.2926,17.16,62,25,8.53,CA,1726803932
85,vorgashor,67.5833,63.95,7.61,89,100,6.41,RU,1726803933
86,fale old settlement,-9.3852,-171.2468,28.08,75,8,7.02,TK,1726803936
87,ambon,-3.6954,128.1814,30.08,74,40,3.09,ID,1726803937
88,pisco,-13.7,-76.2167,16.03,82,3,1.03,PE,1726803905
89,carnarvon,-24.8667,113.6333,22.83,61,0,8.24,AU,1726803939
90,bredasdorp,-34.5322,20.0403,8.77,88,35,1.03,ZA,1726803940
91,kuala terengganu,5.3302,103.1408,29.97,79,20,2.24,MY,1726803941
92,walvis bay,-22.9575,14.5053,11.53,87,16,6.69,NA,1726803942
93,dudinka,69.4058,86.1778,2.3,99,100,3.69,RU,1726803944
94,muhos,64.808,25.9931,8.82,94,41,2.08,FI,1726803945
95,la passe,45.5549,-0.8967,16.97,66,46,3.22,FR,1726803946
96,coquimbo,-29.9533,-71.3436,12.85,70,0,2.57,CL,1726803947
97,east london,-33.0153,27.9116,10.52,93,75,2.57,ZA,1726803948
98,taro,-8.3862,115.28,31.86,33,26,2.23,ID,1726803949
99,khovd,48.0056,91.6419,10.29,27,0,1.5,MN,1726803950
100,weno,7.4515,151.8468,26.97,89,100,0.0,FM,1726803953
101,awjilah,29.1081,21.2869,26.21,63,0,4.02,LY,1726803954
102,al qubbah,32.7616,22.2424,19.5,92,66,2.38,LY,1726803955
103,quellon,-43.1167,-73.6167,5.75,80,100,3.63,CL,1726803956
104,belyy yar,53.6039,91.3903,10.94,76,0,1.0,RU,1726803957
105,labytnangi,66.6572,66.4183,9.9,70,94,2.32,RU,1726803959
106,wajir,1.7471,40.0573,22.98,73,20,0.0,KE,1726803960
107,kapuskasing,49.4169,-82.4331,18.05,77,0,2.06,CA,1726803662
108,aasiaat,68.7098,-52.8699,-4.07,82,13,2.65,GL,1726803962
109,argo,37.6333,22.7333,19.49,75,100,1.95,GR,1726803963
110,atafu village,-8.5421,-172.5159,28.18,73,18,3.42,TK,1726803964
111,coahuayana de hidalgo,18.7,-103.6583,27.01,90,92,0.22,MX,1726803965
112,college,64.8569,-147.8028,6.99,83,75,3.09,US,1726803967
113,qaqortoq,60.7167,-46.0333,4.52,58,81,2.71,GL,1726803968
114,turpan,42.9333,89.1667,28.07,10,0,1.96,CN,1726803969
115,nova sintra,14.8667,-24.7167,26.54,81,17,4.18,CV,1726803970
116,limulunga,-15.0969,23.1376,19.44,20,20,2.94,ZM,1726803971
117,iquique,-20.2208,-70.1431,15.78,80,28,0.38,CL,1726803972
118,maceio,-9.6658,-35.7353,20.69,94,40,0.0,BR,1726803854
119,ushuaia,-54.8,-68.3,-1.19,86,40,7.2,AR,1726803756
120,pizarra,36.7654,-4.7083,22.23,94,11,1.34,ES,1726803976
121,rio grande,-32.035,-52.0986,17.52,98,100,5.57,BR,1726803977
122,laguna,38.421,-121.4238,22.19,62,0,3.6,US,1726803831
123,tiksi,71.6872,128.8694,-0.18,84,100,9.16,RU,1726803979
124,kurumkan,54.3,110.3,9.92,46,6,1.77,RU,1726803980
125,newman,37.3138,-121.0208,21.69,59,69,1.79,US,1726803981
126,kapa'a,22.0752,-159.319,28.18,72,20,5.66,US,1726803982
127,san jeronimo,-11.9472,-75.2829,10.27,83,99,1.24,PE,1726803984
128,pundong,-7.9522,110.3486,30.39,49,16,4.51,ID,1726803985
129,jamestown,42.097,-79.2353,18.8,96,0,2.57,US,1726803959
130,male,4.1748,73.5089,29.97,79,20,2.57,MV,1726803987
131,bamboo flat,11.7,92.7167,29.05,84,100,5.66,IN,1726803988
132,colonia,50.9333,6.95,15.14,84,0,1.54,DE,1726803989
133,avarua,-21.2078,-159.775,23.03,73,40,4.12,CK,1726803990
134,puerto gaitan,4.3133,-72.0816,25.53,76,40,2.43,CO,1726803992
135,namibe,-15.1961,12.1522,18.08,87,100,1.96,AO,1726803993
136,papao,-17.75,-149.55,26.82,79,65,1.92,PF,1726803994
137,kamyshlov,56.8428,62.7111,14.06,75,97,1.88,RU,1726803995
138,machali,-34.1833,-70.6667,10.41,69,93,1.0,CL,1726803996
139,wailua homesteads,22.0669,-159.378,27.44,74,20,5.66,US,1726803997
140,kerikeri,-35.2268,173.9474,16.62,86,100,2.24,NZ,1726803998
141,hilo,19.7297,-155.09,25.61,90,99,0.45,US,1726804000
142,korla,41.7597,86.1469,25.6,18,1,4.74,CN,1726804001
143,chaumont,48.1167,5.1333,8.54,92,0,2.33,FR,1726804002
144,habiganj,24.3833,91.4167,34.64,61,5,0.86,BD,1726804003
145,bothaville,-27.3887,26.617,8.41,68,0,5.96,ZA,1726804007
146,oranjemund,-28.55,16.4333,10.52,81,0,3.82,NA,1726804008
147,auki,-8.7676,160.7034,29.42,73,47,1.83,SB,1726804009
148,dunedin,-45.8742,170.5036,11.0,65,87,2.68,NZ,1726804010
149,olonkinbyen,70.9221,-8.7187,0.39,70,47,6.95,SJ,1726804011
150,badger,64.8,-147.5333,6.95,90,100,3.09,US,1726804012
151,sinabang,2.4803,96.3801,26.92,82,100,2.24,ID,1726804013
152,waspan,14.7419,-83.9717,24.27,97,100,1.41,NI,1726804015
153,arraial do cabo,-22.9661,-42.0278,21.73,83,19,10.91,BR,1726803943
154,la ronge,55.1001,-105.2842,11.14,62,75,6.17,CA,1726804017
155,hawaiian paradise park,19.5933,-154.9731,25.49,84,94,0.89,US,1726804018
156,tazovsky,67.4667,78.7,4.78,71,100,1.7,RU,1726804019
157,tazacorte,28.629,-17.9293,20.54,85,75,3.6,ES,1726804020
158,la sarre,48.8002,-79.1996,15.61,68,0,2.78,CA,1726804021
159,ascension,30.2169,-90.9001,27.81,90,0,0.0,US,1726804023
160,hamilton,39.1834,-84.5333,22.83,69,75,1.54,US,1726804013
161,nantucket,41.2835,-70.0995,18.06,94,100,18.13,US,1726803978
162,murashi,59.3999,48.9615,8.07,86,75,2.02,RU,1726804026
163,port mathurin,-19.6833,63.4167,22.3,83,5,5.79,MU,1726804027
164,nuea khlong,8.0714,98.9993,28.08,89,75,4.12,TH,1726804028
165,murzuq,25.9155,13.9184,31.97,16,0,4.88,LY,1726804030
166,san patricio,28.017,-97.5169,27.97,74,0,4.72,US,1726804031
167,tidjikja,18.5564,-11.4271,25.68,68,59,2.11,MR,1726804032
168,nelson,-41.2833,173.2833,13.49,82,34,1.34,NZ,1726804033
169,najafabad,32.6344,51.3668,22.5,27,0,0.98,IR,1726804034
170,beruniy,41.6911,60.7525,15.98,63,0,1.03,UZ,1726804035
171,murun-kuren,49.6342,100.1625,4.97,72,36,1.95,MN,1726804036
172,remire-montjoly,4.9167,-52.2667,26.02,89,100,1.03,GF,1726804038
173,hotan,37.0997,79.9269,26.77,22,98,1.55,CN,1726803907
174,trincomalee,8.5711,81.2335,30.49,61,77,9.53,LK,1726804040
175,hermanus,-34.4187,19.2345,6.0,85,5,4.81,ZA,1726804041
176,whitburn,54.9533,-1.3686,13.23,96,12,2.73,GB,1726804042
177,bangar,16.8936,120.4243,27.18,85,100,3.64,PH,1726804043
178,sari,36.5633,53.0601,19.77,94,75,1.03,IR,1726804045
179,yekaterinoslavka,50.3734,129.1139,14.03,24,0,7.45,RU,1726804046
180,mahina,-17.5065,-149.489,26.87,78,0,4.63,PF,1726804047
181,motygino,58.1831,94.7592,11.42,84,89,2.92,RU,1726804048
182,talnakh,69.4865,88.3972,1.67,100,100,2.62,RU,1726804049
183,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,39,40,4.0,RU,1726804050
184,rodolfo sanchez taboada,31.7167,-116.5667,19.5,75,3,1.79,MX,1726804053
185,puerto ayora,-0.7393,-90.3518,20.48,81,76,3.6,EC,1726804054
186,kamien pomorski,53.9685,14.7726,14.67,67,0,3.88,PL,1726804055
187,luderitz,-26.6481,15.1594,10.99,77,0,7.84,NA,1726804056
188,sahibganj,25.25,87.65,33.76,56,51,2.95,IN,1726804057
189,hadibu,12.65,54.0333,25.16,81,29,1.4,YE,1726804058
190,kingston,17.997,-76.7936,29.53,74,20,2.06,JM,1726803915
191,tinajo,29.0788,-13.7081,20.49,73,0,1.03,ES,1726804061
192,al hasakah,36.5024,40.7477,23.19,60,31,2.36,SY,1726804062
193,ceeldheer,3.8488,47.1806,25.46,85,11,7.99,SO,1726804063
194,ust-nera,64.5667,143.2,2.84,68,99,1.83,RU,1726804064
195,crane,31.3974,-102.3501,29.37,39,18,6.13,US,1726804065
196,egilsstadir,65.2653,-14.3948,-0.05,86,75,2.57,IS,1726804066
197,fisterra,42.9049,-9.2629,16.4,87,40,0.19,ES,1726804068
198,noshiro,40.2039,140.0242,24.46,84,100,6.1,JP,1726804069
199,el calafate,-50.3408,-72.2768,1.63,61,98,3.83,AR,1726804024
200,dhidhdhoo,6.8833,73.1,27.88,75,1,5.61,MV,1726804071
201,mariehamn,60.0973,19.9348,6.92,100,41,0.51,AX,1726804072
202,constantia,44.1833,28.65,15.39,67,41,8.78,RO,1726804073
203,cruzeiro do sul,-29.5128,-51.9853,24.17,61,100,5.67,BR,1726804074
204,tafuna,-14.3358,-170.72,28.97,74,75,3.6,AS,1726804076
205,monrovia,6.3005,-10.7969,24.55,87,100,1.79,LR,1726804077
206,bandar lampung,-5.4254,105.258,30.42,46,44,4.33,ID,1726803885
207,boiling springs,35.0465,-81.9818,21.15,91,0,0.0,US,1726804080
208,whitehorse,60.7161,-135.0538,6.01,93,75,1.03,CA,1726804082
209,obihiro,42.9172,143.2044,23.67,69,95,6.63,JP,1726804083
210,daru,-9.0763,143.2092,27.8,75,100,2.98,PG,1726804084
211,dzhambeyty,50.2536,52.595,15.5,32,100,1.76,KZ,1726804085
212,tsiombe,-25.3,45.4833,22.76,79,4,0.97,MG,1726804086
213,thunder bay,48.4001,-89.3168,21.99,73,40,4.63,CA,1726804087
214,letlhakane,-21.4167,25.5833,20.26,14,91,4.43,BW,1726804088
215,seybaplaya,19.65,-90.6667,27.37,75,10,5.55,MX,1726804090
216,barentu,15.1139,37.5928,23.32,69,91,1.74,ER,1726804091
217,broken hill,-31.95,141.4333,18.98,29,1,6.01,AU,1726804092
218,duck lake,52.8168,-106.2344,10.59,78,5,3.09,CA,1726804093
219,tsengel,49.4783,100.8894,6.03,62,16,2.33,MN,1726804094
220,at taj,24.2049,23.2857,28.06,30,3,3.7,LY,1726804095
221,hami,42.8,93.45,23.45,13,0,1.38,CN,1726804096
222,batesville,35.7698,-91.641,24.41,73,0,0.0,US,1726803903
223,saipan,15.1355,145.701,31.39,74,40,5.14,MP,1726804099
224,queenstown,-31.8976,26.8753,4.03,87,100,4.61,ZA,1726804100
225,olesno,50.877,18.4209,11.11,44,0,4.85,PL,1726804101
226,pljevlja,43.3333,19.3333,10.21,98,100,0.49,ME,1726804102
227,porto novo,6.4965,2.6036,24.1,92,100,2.0,BJ,1726804103
228,kruisfontein,-34.0033,24.7314,8.37,86,53,1.75,ZA,1726804104
229,mogocha,53.7333,119.7667,11.38,31,0,2.36,RU,1726804106
230,port hedland,-20.3167,118.5667,35.03,31,100,6.69,AU,1726804107
231,beya,53.0533,90.9139,13.01,59,0,1.52,RU,1726804108
232,mikun',62.3547,50.0771,8.93,84,100,3.11,RU,1726804109
233,n'dalatando,-9.2978,14.9116,19.09,84,100,1.65,AO,1726804110
234,bayevo,53.2833,80.7667,14.37,64,100,3.65,RU,1726804111
235,nizhneangarsk,55.7833,109.55,5.46,65,36,3.13,RU,1726804113
236,cabedelo,-6.9811,-34.8339,23.37,79,2,5.92,BR,1726804114
237,sangolqui,-0.3341,-78.4522,8.27,75,44,2.48,EC,1726804115
238,manta,-0.95,-80.7333,21.88,83,100,4.12,EC,1726804116
239,kourou,5.1552,-52.6478,26.27,84,90,4.96,GF,1726804117
240,rawai,7.7797,98.3253,29.43,90,74,9.54,TH,1726804119
241,aswan,24.0934,32.907,27.61,26,0,1.54,EG,1726803843
242,kokopo,-4.352,152.2633,30.14,65,99,4.32,PG,1726804122
243,el granada,37.5027,-122.4694,15.61,90,100,3.09,US,1726804124
244,picos,-7.0769,-41.4669,28.25,40,75,4.05,BR,1726803925
245,ponta delgada,37.7333,-25.6667,20.4,77,40,1.03,PT,1726804126
246,kudahuvadhoo,2.6708,72.8944,28.67,70,7,3.92,MV,1726804128
247,ierapetra,35.01,25.7353,23.97,69,69,3.13,GR,1726804129
248,chonchi,-42.6128,-73.8092,5.07,88,99,1.59,CL,1726804130
249,mogadishu,2.0371,45.3438,25.72,85,43,6.91,SO,1726804131
250,faaa,-17.55,-149.6,26.98,78,0,4.63,PF,1726804132
251,neryungri,56.6709,124.6491,3.77,50,97,3.39,RU,1726804133
252,barcelos,41.5388,-8.6151,14.97,91,100,0.83,PT,1726804136
253,osorno,-40.5667,-73.15,8.17,76,100,2.57,CL,1726803913
254,ebon,4.582,168.6964,29.43,73,100,6.76,MH,1726804138
255,qala i naw,34.9874,63.1289,19.82,30,0,1.31,AF,1726804139
256,palmas,-10.2128,-48.3603,27.93,34,0,2.06,BR,1726803609
257,svetlyy,54.675,20.1347,14.43,66,3,2.66,RU,1726804142
258,kita,13.0349,-9.4895,22.33,95,99,0.22,ML,1726804143
259,pacific grove,36.6177,-121.9166,15.82,91,100,1.54,US,1726804144
260,burley,42.5357,-113.7928,13.98,72,0,1.54,US,1726804145
261,iskateley,67.6803,53.1512,10.83,91,96,7.83,RU,1726804146
262,kyabe,9.4515,18.9449,21.31,98,100,1.82,TD,1726804147
263,nobeoka,32.5833,131.6667,29.68,74,92,4.0,JP,1726804148
264,yankton,42.8711,-97.3973,21.73,52,0,3.09,US,1726804150
265,manoc-manoc,11.9416,121.9428,27.8,76,100,6.61,PH,1726804151
266,rumbek,6.802,29.6912,20.73,95,44,1.4,SS,1726804152
267,uturoa,-16.7333,-151.4333,26.6,76,64,2.23,PF,1726804153
268,zhanga buqtyrma,49.6295,83.5248,16.31,27,27,2.03,KZ,1726804154
269,udachny,66.4167,112.4,2.57,99,100,2.76,RU,1726804155
270,harper,4.375,-7.7169,24.43,86,100,4.51,LR,1726804156
271,palikir - national government center,6.9248,158.1611,31.47,70,75,2.57,FM,1726804159
272,mount pearl,47.5166,-52.7813,11.75,96,100,5.66,CA,1726804160
273,kirensk,57.7853,108.1119,10.34,59,100,5.48,RU,1726804161
274,touros,-5.1989,-35.4608,23.8,78,17,6.73,BR,1726804162
275,lazaro cardenas,17.9583,-102.2,27.49,83,24,1.13,MX,1726804011
276,kalashnikovo,57.2824,35.2262,9.87,89,78,1.94,RU,1726804165
277,susuman,62.7833,148.1667,6.1,53,94,1.8,RU,1726804166
278,saraktash,51.7866,51.7866,15.0,39,91,1.9,RU,1726804167
279,rexburg,43.826,-111.7897,12.99,67,0,0.0,US,1726804168
280,siracusa,37.0881,15.2792,21.55,61,100,2.1,IT,1726804169
281,la'ie,21.6477,-157.9253,28.98,75,81,2.24,US,1726804157
282,puerto san jose,13.9256,-90.8244,26.97,85,97,3.01,GT,1726804171
283,colares,38.7992,-9.4469,20.55,85,100,5.14,PT,1726804173
284,mukalla,14.5425,49.1242,26.71,86,69,3.78,YE,1726804174
285,mwene-ditu,-7.0,23.45,20.6,83,99,3.31,CD,1726804175
286,sandpoint,48.2766,-116.5533,15.4,70,50,0.8,US,1726803998
287,ntungamo,-0.8833,29.65,17.64,91,100,1.46,UG,1726804177
288,puerto deseado,-47.7503,-65.8938,5.65,88,100,8.62,AR,1726804178
289,inhambane,-23.865,35.3833,21.27,78,100,8.51,MZ,1726804179
290,port lincoln,-34.7333,135.8667,16.42,54,84,9.81,AU,1726804181
291,fuglafjordur,62.244,-6.814,9.53,88,94,0.68,FO,1726804182
292,kerema,-7.9631,145.7785,28.14,81,61,3.83,PG,1726804183
293,i-n-salah,27.1935,2.4607,28.07,43,59,6.62,DZ,1726804184
294,sanctuary point,-35.1114,150.629,21.32,28,0,5.11,AU,1726804185
295,namtsy,62.7161,129.6658,5.53,42,78,4.07,RU,1726804186
296,fort bragg,35.139,-79.006,21.91,92,0,0.0,US,1726804187
297,brookings,44.3114,-96.7984,16.73,86,0,2.35,US,1726804189
298,sretensk,52.2453,117.7093,14.03,23,0,2.94,RU,1726804191
299,paro,27.4305,89.4133,24.42,58,85,2.54,BT,1726804192
300,al qusiyah,27.4402,30.8184,28.24,39,0,1.0,EG,1726804193
301,urangan,-25.3,152.9,21.35,86,3,8.79,AU,1726804195
302,narvik,68.4384,17.4272,7.99,91,100,6.56,NO,1726804197
303,semnan,35.5729,53.3971,22.94,41,58,0.5,IR,1726804198
304,mermoz boabab,14.7065,-17.4758,26.88,83,20,4.12,SN,1726804199
305,sihanoukville,10.6093,103.5296,29.97,79,40,6.69,KH,1726804200
306,birao,10.2849,22.7882,20.5,97,80,0.96,CF,1726804201
307,mahibadhoo,3.7833,72.9667,28.46,71,15,3.81,MV,1726804202
308,meadow lake,34.8014,-106.5436,23.71,23,29,5.2,US,1726804203
309,ishigaki,24.3448,124.1572,32.07,74,75,5.14,JP,1726804205
310,khandyga,62.6667,135.6,0.78,75,100,1.42,RU,1726804206
311,bowen,-20.0167,148.2333,24.79,73,17,5.68,AU,1726804207
312,genhe,50.7833,121.5167,12.39,21,0,3.92,CN,1726804208
313,phan rang-thap cham,11.5667,108.9833,34.86,45,52,6.43,VN,1726803929
314,ancud,-41.8697,-73.8203,7.47,68,100,4.82,CL,1726804212
315,jinchang,38.4953,102.1739,17.1,63,96,3.33,CN,1726804213
316,nagqu,31.5,92.0,11.59,56,26,1.49,CN,1726804214
317,chutove,49.7104,35.1603,12.81,45,30,3.11,UA,1726804215
318,decorah,43.3033,-91.7857,20.51,100,75,2.57,US,1726804216
319,hastings,50.8552,0.5729,16.61,51,32,6.05,GB,1726804217
320,al bawiti,28.3492,28.8659,28.24,36,0,1.99,EG,1726804218
321,pokhara,28.2333,83.9833,27.79,66,1,2.0,NP,1726804100
322,quepos,9.4236,-84.1652,24.7,91,100,0.55,CR,1726804222
323,aleg,17.0481,-13.9209,29.74,53,100,4.4,MR,1726804223
324,darwin,-12.4611,130.8418,33.3,52,40,6.17,AU,1726804224
325,al kharijah,25.4514,30.5464,28.05,35,0,3.71,EG,1726804225
326,puerto maldonado,-12.6,-69.1833,25.84,54,10,1.39,PE,1726804226
327,nanao,37.05,136.9667,30.39,76,100,4.61,JP,1726804228
328,changji,44.0167,87.3167,20.44,28,0,2.0,CN,1726804229
329,rosso,16.4986,-15.8153,25.62,76,63,5.22,SN,1726804230
330,kurchatov,51.6601,35.6521,12.36,75,60,2.87,RU,1726804231
331,itaituba,-4.2761,-55.9836,26.09,57,42,1.3,BR,1726804232
